Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000240344	1.943941268080029	-0.8508438378759597	0.371493538575486	0.5008619337350848	0.5968288628681522	FALSE
ENSG00000200651	1.61696090296853	-0.8510625140570098	0.353862423755701	0.0035578307552568615	0.018319229112597868	TRUE
ENSG00000283813	1.6188446547791333	-0.8518879755019234	0.3541047737975355	0.003541987199542334	0.018271258293462236	TRUE
ENSG00000260806	2.8129510802246034	-0.8522731382924329	0.41882703216122935	0.008636782299140703	0.034555358622288534	TRUE
ENSG00000198976	14.17456375621748	-0.8530228805714605	0.46648071186954077	0.012951829984123297	0.045132559421853714	TRUE
ENSG00000115896	1.4972171751894283	-0.8536171314611425	0.30662345987589995	0.6009037729388306	0.688832908154559	FALSE
ENSG00000162910	1.673357564531332	-0.8537170983705517	0.34875610123393225	0.003317745141224323	0.017544982266199084	TRUE
ENSG00000234608	1.2139663161627243	-0.854659422806738	0.2653852356572753	0.8687796322105052	NA	NA
ENSG00000182446	1.170857632982907	-0.8547391826663128	0.27696933289540887	0.7621723753308096	NA	NA
ENSG00000100300	1.4092574298374925	-0.8550815916716861	0.30387198802996657	0.5059984825811489	0.6017240522113408	FALSE
ENSG00000171302	1.6273711687932944	-0.8586722561633758	0.32548690037029	0.9392226710392606	0.9550299057255976	FALSE
ENSG00000164134	5.184189282475416	-0.8593380679743372	0.4780244404301986	0.013419102861061166	0.04618591222425888	TRUE
ENSG00000117308	1.3000433786253407	-0.8613003572129698	0.28485736210801926	0.7181699045846576	NA	NA
ENSG00000034677	1.834467608505705	-0.8615790721634051	0.3494786087397549	0.7097366381428034	0.7819976805809239	FALSE
ENSG00000153113	1.6047306365310754	-0.8625012075579053	0.28421074734762203	0.5398347859969577	0.6323800436326475	FALSE
ENSG00000207989	1.2195201928470958	-0.8635809346245281	0.2755601934552897	0.8937252566055253	NA	NA
ENSG00000224470	1.607431327262272	-0.8647578663094627	0.27729838334452755	0.03306734483403311	0.08427907797153569	FALSE
ENSG00000163655	1.3042183023273006	-0.8668816694593247	0.26111520856002507	0.43743495180609826	NA	NA
